Name,Number of Births,,
James,688,,
Jack,684,,
Conor,558,,
Daniel,558,,
Sean,501,,
Emily,490,,
Grace,452,,
Noah,446,,
Adam,400,,
Oisin,398,,
Michael,394,,
Ava,388,,
Lucy,388,,
Luke,375,,
Harry,374,,
Sophie,369,,
Amelia,369,,
Charlie,369,,
Emma,365,,
Mia,357,,
Hannah,351,,
Cian,344,,
Lily,334,,
Liam,333,,
Ella,331,,
Thomas,328,,
Saoirse,324,,
Darragh,322,,
Alex,320,,
Patrick,319,,
Ryan,318,,
Finn,314,,
Fionn,308,,
Olivia,303,,
Kate,302,,
Aoife,300,,
Cillian,298,,
Sarah,290,,
Chloe,288,,
Anna,288,,
Dylan,286,,
Aaron,271,,
John,269,,
Jamie,267,,
Caoimhe,256,,
Ellie,254,,
David,253,,
Katie,251,,
Ben,250,,
Matthew,247,,
Oliver,244,,
Sophia,243,,
Holly,239,,
Fiadh,235,,
Rian,231,,
Tadhg,228,,
Jake,225,,
Lauren,224,,
Zoe,219,,
Evan,216,,
Max,214,,
Molly,210,,
Isabelle,202,,
Robyn,201,,
Tom,197,,
Jacob,195,,
Samuel,193,,
Nathan,192,,
Leah,191,,
Kyle,191,,
Sadie,190,,
Ethan,190,,
Sam,190,,
Roisin,186,,
Ruby,186,,
Mason,186,,
Cara,181,,
Alice,181,,
Joshua,179,,
Leo,179,,
Oscar,172,,
Freya,168,,
Eva,166,,
Erin,165,,
Bobby,165,,
Callum,162,,
Alexander,160,,
Ciara,158,,
Evie,158,,
Niamh,157,,
Sofia,156,,
William,155,,
Joseph,153,,
Aidan,152,,
Charlotte,151,,
Ollie,150,,
Alfie,149,,
Layla,135,,
Eoin,135,,
Amy,133,,
Eabha,133,,
Faye,132,,
Robert,132,,
Jessica,131,,
Logan,131,,
Julia,128,,
Eve,128,,
Benjamin,128,,
Leon,128,,
Odhran,128,,
Senan,128,,
Clodagh,127,,
Jayden,125,,
Lucas,123,,
Shane,119,,
Cathal,116,,
Abigail,114,,
Isla,113,,
Laura,112,,
Tommy,110,,
Maria,109,,
Maya,109,,
Sadhbh,108,,
Zara,108,,
Amber,107,,
Millie,107,,
Emilia,107,,
Isabella,103,,
Scott,103,,
Donnacha,101,,
Eoghan,101,,
Aoibhinn,100,,
Danny,100,,
Ellen,99,,
Ronan,99,,
Andrew,98,,
Mark,98,,
Abbie,97,,
Elizabeth,97,,
Clara,97,,
Harper,97,,
Rory,97,,
Alannah,96,,
Henry,94,,
Tyler,94,,
Kayla,92,,
Sienna,91,,
Billy,91,,
Willow,90,,
Megan,89,,
Josh,88,,
Louis,88,,
Shay,88,,
Rachel,87,,
Daithi,87,,
Kevin,87,,
Rebecca,86,,
Maisie,86,,
Cormac,85,,
Muhammad,85,,
Tomas,85,,
Aisling,84,,
Rose,84,,
Anthony,84,,
Aine,83,,
Killian,83,,
Martin,83,,
Aoibheann,82,,
Hugo,82,,
Annie,81,,
Ciaran,81,,
Edward,81,,
Kai,79,,
Christopher,77,,
George,77,,
Luca,77,,
Lorcan,75,,
Zach,74,,
Meabh,72,,
Heidi,72,,
Dara,71,,
Isaac,71,,
Jason,71,,
Sebastian,71,,
Mary,70,,
Lilly,70,,
Mila,70,,
Georgia,68,,
Rosie,68,,
Peter,68,,
Daisy,67,,
Antoni,67,,
Eli,66,,
Victoria,65,,
Blake,65,,
Alexandra,64,,
Ailbhe,64,,
Arthur,64,,
Filip,64,,
Jakub,64,,
Theo,64,,
Lara,63,,
Tadgh,63,,
Brody,62,,
Freddie,62,,
Mollie,61,,
Rhys,61,,
Orla,60,,
Isabel,60,,
Alan,60,,
Frankie,60,,
Daire,59,,
Sara,58,,
Matilda,58,,
Zoey,58,,
Aria,58,,
Archie,58,,
Joe,58,,
Nicole,57,,
Muireann,57,,
Lena,57,,
Evelyn,57,,
Caleb,57,,
Harrison,57,,
Hugh,57,,
Hazel,56,,
Madison,56,,
Hanna,56,,
Lola,56,,
Poppy,56,,
Jaxon,56,,
Aoibhe,54,,
Esme,54,,
Penny,54,,
Pippa,54,,
Oran,54,,
Ruairi,54,,
Alison,53,,
Bella,53,,
Eanna,53,,
Niall,53,,
Nicholas,53,,
Tara,52,,
Brooke,52,,
Maja,52,,
Mya,52,,
Paige,52,,
Jackson,52,,
Padraig,52,,
Sonny,51,,
Caitlin,50,,
Eimear,50,,
Zofia,50,,
Lexi,50,,
Alicja,50,,
Cody,50,,
Seamus,50,,
Stephen,50,,
Charles,49,,
Elliot,49,,
Hollie,48,,
Conall,48,,
Joey,48,,
Micheal,48,,
Riley,48,,
Cora,47,,
Kacper,47,,
