County,Province
Antrim,Ulster
Armagh,Ulster
Carlow,Leinster
Cavan,Ulster
Clare,Munster
Cork,Munster
Donegal,Ulster
Down,Ulster
Dublin,Leinster
Fermanagh,Ulster
Galway,Connacht
Kerry,Munster
Kildare,Leinster
Kilkenny,Leinster
Laois,Leinster
Leitrim,Connacht
Limerick,Munster
Derry,Ulster
Longford,Leinster
Louth,Leinster
Mayo,Connacht
Meath,Leinster
Monaghan,Ulster
Offaly,Leinster
Roscommon,Connacht
Sligo,Connacht
Tipperary,Munster
Tyrone,Ulster
Waterford,Munster
Westmeath,Leinster
Wexford,Leinster
Wicklow,Leinster
